Catalog ID,Product Code,Product Series,Product Category,English Product Name,Chinese Product Name,Model / Specification,Capacity,Dimensions,Material,Packing,Domestic Reference Price RMB,Factory Cost RMB,EXW Base Price USD,EXW Standard Price USD,EXW Distributor Price USD,MOQ,Recommended Export Level,Notes,Internal Exchange Rate,RMB Base Price Source,Small Order Price Formula,Standard Price Formula,Distributor Price Formula,Price Owner,Last Updated,Export Priority,Risk Note
CAP-056,CAP-056,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,56#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-057,CAP-057,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,57#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-058,CAP-058,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,58#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-060,CAP-060,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,60#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-061,CAP-061,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,61#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-063,CAP-063,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,63#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-064,CAP-064,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,64#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-065,CAP-065,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,65#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-069,CAP-069,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,69#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-070,CAP-070,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,70#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-072,CAP-072,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,72#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-075,CAP-075,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,75#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-077,CAP-077,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,77#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-080,CAP-080,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,80#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-082,CAP-082,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,82#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-090,CAP-090,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,90#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
CAP-095,CAP-095,Accessories,Tissue Culture Lids,Tissue Culture Lids,组培盖,95#,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Breathable membrane customization; 1cm, 2cm, and 3cm membrane diameters; Internal and external installation options; Compatible with multiple culture containers",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-12X12X1,FILM-1212-H01,Accessories,Sealing Films,Sealing Films,封口膜,12×12cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-12X12X2,FILM-1212-H02,Accessories,Sealing Films,Sealing Films,封口膜,12×12cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-12X12X3,FILM-1212-H03,Accessories,Sealing Films,Sealing Films,封口膜,12×12cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-14X14X1,FILM-1414-H01,Accessories,Sealing Films,Sealing Films,封口膜,14×14cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-14X14X2,FILM-1414-H02,Accessories,Sealing Films,Sealing Films,封口膜,14×14cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-14X14X3,FILM-1414-H03,Accessories,Sealing Films,Sealing Films,封口膜,14×14cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-16X16X1,FILM-1616-H01,Accessories,Sealing Films,Sealing Films,封口膜,16×16cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-16X16X2,FILM-1616-H02,Accessories,Sealing Films,Sealing Films,封口膜,16×16cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
FILM-16X16X3,FILM-1616-H03,Accessories,Sealing Films,Sealing Films,封口膜,16×16cm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Custom film sizes available; Standard 12×12cm, 14×14cm, and 16×16cm sizes; 1cm, 2cm, and 3cm central vent options; Multiple membrane configurations available",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-490X320X50,BASKET-49032050,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,490×320×50mm,TBD,Length: 490mm; Width: 320mm; Height: 50mm; Weight: 300g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-510X310X70,BASKET-51031070,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,510×310×70mm,TBD,Length: 510mm; Width: 310mm; Height: 70mm; Weight: 270g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-520X420X60,BASKET-52042060,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,520×420×60mm,TBD,Length: 520mm; Width: 420mm; Height: 60mm; Weight: 430g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-520X420X70,BASKET-52042070,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,520×420×70mm,TBD,Length: 520mm; Width: 420mm; Height: 70mm; Weight: 440g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-530X430X70,BASKET-53043070,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,530×430×70mm,TBD,Length: 530mm; Width: 430mm; Height: 70mm; Weight: 480g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-600X440X60,BASKET-60044060-A,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,600×440×60mm（网格A）,TBD,Length: 600mm; Width: 440mm; Height: 60mm; Weight: 500g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-600X440X60-02,BASKET-60044060-B,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,600×440×60mm（网格B）,TBD,Length: 600mm; Width: 440mm; Height: 60mm; Weight: 500g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-620X520X60,BASKET-62052060,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,620×520×60mm,TBD,Length: 620mm; Width: 520mm; Height: 60mm; Weight: 700g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
BASKET-670X450X60,BASKET-67045060,Accessories,Tissue Culture Baskets,Tissue Culture Baskets,组培筐,670×450×60mm,TBD,Length: 670mm; Width: 450mm; Height: 60mm; Weight: 700g,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Heat-resistant PP material; Excellent airflow and drainage; For organized placement and transportation; Multiple sizes for different cultivation needs,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
SPECIAL-SUGARFREE-001,PP-BOX-VENT-240195170,Featured Products,Sterile Ventilated Tissue Culture Box,Sterile Ventilated Tissue Culture Box,无糖透气培养盒,无糖透气培养盒,TBD,Length: 240mm; Width: 195mm; Height: 170mm,PP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Active ventilation system; Compatible with air pumps, CO₂ monitors, and airflow control valves; Dual filtration and antimicrobial membrane protection; Proprietary patented technology; 可配套换气泵、CO2监测器、调节阀等",6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
